id,grant_title,group,total_amount
0,G7,G,37621
1,G6,G,6855
2,G5,G,14989
3,G4,G,1371
4,G3,G,273
5,G2,G,2783
6,G9,G,1675
7,G#,G,64494
8,GM,G,219
9,Gb,G,9200
10,Gm,G,73437
11,G#m7,G,3950
12,G,G,1136603
13,Bm7/A,B,244
14,Eadd9,E,664
15,Am/C,A,923
16,Am/B,A,649
17,Am/G,A,2868
18,Am/F,A,491
19,Am/E,A,916
20,Gmaj,G,927
21,Cmaj,C,1753
22,B/Eb,B,1130
23,C#dim,C,710
24,A#dim,A,336
25,Abm,A,6753
26,Bmaj7,B,1303
27,A,A,548260
28,Ab5,A,707
29,Ab6,A,343
30,Ab7,A,1255
31,D/B,D,1389
32,D/C,D,1069
33,D/A,D,3164
34,D/F,D,787
35,D/G,D,1373
36,D/E,D,1140
37,Dm/C,D,859
38,Gsus4,G,10339
39,Gsus2,G,3677
40,Csus4,C,5201
41,CMaj7,C,424
42,B,B,226231
43,B/D#,B,1746
44,G/E,G,1328
45,G/D,G,3397
46,G/F,G,1221
47,G/A,G,1784
48,G/C,G,1505
49,G/B,G,13809
50,Bbm7,B,2178
51,Fsus,F,1161
52,E11,E,356
53,F/E,F,1075
54,D#maj7,D,421
55,Abdim,A,211
56,Dsus,D,5294
57,Abm7,A,1132
58,Cmaj7/G,C,255
59,Eb/G,E,1661
60,A#maj7,A,404
61,E7sus4,E,1092
62,C/A,C,1222
63,C/E,C,8802
64,C/D,C,2065
65,C/G,C,10792
66,C/F,C,1791
67,C,C,1138116
68,Csus,C,2550
69,FMaj7,F,266
70,DM7,D,1936
71,D#/G,D,206
72,C#,C,71828
73,C9,C,7039
74,C3,C,394
75,C2,C,5939
76,C7,C,27488
77,C6,C,4672
78,C5,C,15615
79,C4,C,656
80,CM,C,212
81,Ebmaj7,E,1818
82,Cm,C,63788
83,Cb,C,551
84,D#sus2,D,306
85,F/D,F,445
86,F/G,F,1778
87,F/A,F,3651
88,F/C,F,4304
89,D,D,611323
90,Cm#,C,546
91,D7/F#,D,658
92,G#maj7,G,383
93,Baug,B,249
94,Hm,H,7639
95,Dm7/G,D,428
96,H7,H,1024
97,H5,H,388
98,B13,B,217
99,B11,B,349
100,Am/D,A,321
101,C#sus2,C,690
102,B/G,B,333
103,Bbadd9,B,299
104,Edim,E,578
105,D7,D,31945
106,Aaug,A,274
107,Dbm7,D,389
108,F#sus4,F,791
109,Ebsus4,E,275
110,Fsus4,F,1431
111,Fsus2,F,2129
112,A#m7,A,805
113,CM7,C,2259
114,F#maj7,F,548
115,G#dim,G,395
116,Cdim,C,1007
117,F,F,1114416
118,Daug,D,274
119,Bm/A,B,1162
120,C#add9,C,261
121,Bbsus4,B,558
122,Bbsus2,B,951
123,Fmaj9,F,855
124,Fmaj7,F,20582
125,Abmaj7,A,1110
126,Asus2,A,14391
127,Asus4,A,9065
128,Fmaj,F,1803
129,A/G,A,938
130,A/E,A,1532
131,A/D,A,854
132,A/B,A,740
133,D7sus4,D,2007
134,F#5,F,6028
135,F#6,F,301
136,F#7,F,7254
137,F#9,F,269
138,Db5,D,311
139,Db7,D,747
140,Db6,D,209
141,F#M,F,1057
142,Dbm,D,2431
143,F#m,F,132544
144,Bbm,B,17220
145,Csus2,C,6644
146,Bmin,B,711
147,Bb9,B,957
148,B/A,B,502
149,Bb7,B,3514
150,Bb6,B,700
151,Bb5,B,2611
152,Bb2,B,392
153,B/C,B,442
154,Hm7,H,278
155,C#sus4,C,338
156,DM,D,1243
157,BbM7,B,390
158,Dm,D,237449
159,Db,D,16953
160,D#,D,35792
161,D9,D,4810
162,D6,D,2727
163,Badd9,B,511
164,D4,D,1310
165,D5,D,16487
166,D2,D,4352
167,Gm7/C,G,213
168,Adim,A,546
169,Amin,A,1200
170,GM7,G,1847
171,H,H,7844
172,G7M,G,370
173,AbM7,A,204
174,AMaj7,A,231
175,EM7,E,879
176,EM9,E,263
177,Dm#,D,218
178,Gb7,G,364
179,Gb5,G,304
180,Dm6,D,989
181,Dm7,D,18206
